instrument,timeframe,fold,level_type,n,unconditional_acc,filtered_acc,n_filtered
NQ,4h,3,Isolation-Forest,350,0.4342857142857143,0.41714285714285715,175
NQ,4h,3,KDE,167,0.41317365269461076,0.44047619047619047,84
NQ,4h,3,MeanShift,407,0.4398034398034398,0.4852941176470588,204
NQ,4h,3,OPTICS,579,0.41450777202072536,0.4793103448275862,290
NQ,4h,3,TDA,484,0.45041322314049587,0.512396694214876,242
NQ,4h,3,VWAP,173,0.3872832369942196,0.3793103448275862,87
NQ,4h,4,GMM,292,0.476027397260274,0.5,146
NQ,4h,4,HDBSCAN,619,0.4378029079159935,0.5290322580645161,310
NQ,4h,4,Isolation-Forest,295,0.4271186440677966,0.5540540540540541,148
NQ,4h,4,KDE,170,0.5058823529411764,0.5529411764705883,85
NQ,4h,4,MeanShift,371,0.4636118598382749,0.4731182795698925,186
NQ,4h,4,OPTICS,684,0.47514619883040937,0.5526315789473685,342
NQ,4h,4,TDA,454,0.42070484581497797,0.5418502202643172,227
NQ,4h,4,VWAP,158,0.3987341772151899,0.43037974683544306,79
